2025-07-18 08:31:23, usuario1, OK
2025-07-18 08:32:10, usuario3, ERROR
2025-07-18 09:15:22, usuario2, ERROR
2025-07-18 09:17:45, usuario2, ERROR
2025-07-18 09:19:15, usuario3, OK
2025-07-18 10:01:23, usuario1, ERROR
2025-07-18 10:05:22, usuario2, ERROR
2025-07-18 10:06:23, usuario2, ERROR
2025-07-18 10:07:25, usuario2, ERROR
2025-07-18 10:10:20, usuario4, OK
2025-07-18 10:12:20, usuario1, ERROR
2025-07-18 10:13:20, usuario1, ERROR
2025-07-18 10:14:20, usuario1, OK
2025-07-18 11:02:11, usuario4, ERROR
2025-07-18 11:03:12, usuario4, ERROR
2025-07-18 11:04:13, usuario4, ERROR
2025-07-18 11:05:14, usuario4, ERROR
2025-07-18 12:15:22, usuario2, OK
2025-07-18 12:17:45, usuario2, ERROR
2025-07-18 12:19:15, usuario3, ERROR
